ensembl_gene_id	geneSymbol	description	band
ENSG00000024526	DEPDC1	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]	p31.3
ENSG00000025800	KPNA6	karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399]	p35.2
ENSG00000026751	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	q23.3
ENSG00000027644	INSRR	insulin receptor related receptor [Source:HGNC Symbol;Acc:HGNC:6093]	q23.1
ENSG00000027869	SH2D2A	SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]	q23.1
ENSG00000028116	VRK2	VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]	p16.1
ENSG00000028137	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	p36.22
ENSG00000031698	SARS1	seryl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:10537]	p13.3
ENSG00000032389	EIPR1	EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]	p25.3
ENSG00000033122	LRRC7	leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]	p31.1
ENSG00000034510	TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]	p11.2
ENSG00000034971	MYOC	myocilin [Source:HGNC Symbol;Acc:HGNC:7610]	q24.3
ENSG00000035115	SH3YL1	SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]	p25.3
ENSG00000035141	FAM136A	family with sequence similarity 136 member A [Source:HGNC Symbol;Acc:HGNC:25911]	p13.3
ENSG00000035687	ADSS2	adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]	q44
ENSG00000036549	ZZZ3	zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]	p31.1
ENSG00000037637	FBXO42	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]	p36.13
ENSG00000040487	SLC66A1	solute carrier family 66 member 1 [Source:HGNC Symbol;Acc:HGNC:26001]	p36.13
ENSG00000040933	INPP4A	inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]	q11.2
ENSG00000041988	THAP3	THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]	p36.31
ENSG00000042445	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	p11.2
ENSG00000042493	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	p11.2
ENSG00000042781	USH2A	usherin [Source:HGNC Symbol;Acc:HGNC:12601]	q41
ENSG00000043514	TRIT1	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]	p34.2
ENSG00000044012	GUCA2B	guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]	p34.2
ENSG00000047410	TPR	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]	q31.1
ENSG00000048707	VPS13D	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]	p36.22
ENSG00000048991	R3HDM1	R3H domain containing 1 [Source:HGNC Symbol;Acc:HGNC:9757]	q21.3
ENSG00000049089	COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	p34.2
ENSG00000049239	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]	p36.22
ENSG00000049245	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	p36.23
ENSG00000049246	PER3	period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]	p36.23
ENSG00000049247	UTS2	urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]	p36.23
ENSG00000049249	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	p36.23
ENSG00000049323	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	p22.3
ENSG00000050628	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	p31.1
ENSG00000052723	SIKE1	suppressor of IKBKE 1 [Source:HGNC Symbol;Acc:HGNC:26119]	p13.2
ENSG00000053371	AKR7A2	aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389]	p36.13
ENSG00000053372	MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	p36.13
ENSG00000054116	TRAPPC3	trafficking protein particle complex 3 [Source:HGNC Symbol;Acc:HGNC:19942]	p34.3
ENSG00000054118	THRAP3	thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]	p34.3
ENSG00000054219	LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]	q24.2
ENSG00000054267	ARID4B	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	q42.3
ENSG00000054277	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	q43
ENSG00000054282	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]	q43
ENSG00000054392	HHAT	hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]	q32.2
ENSG00000054523	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	p36.22
ENSG00000055070	SZRD1	SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]	p36.13
ENSG00000055332	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	p22.2
ENSG00000055732	MCOLN3	mucolipin 3 [Source:HGNC Symbol;Acc:HGNC:13358]	p22.3
ENSG00000055813	CCDC85A	coiled-coil domain containing 85A [Source:HGNC Symbol;Acc:HGNC:29400]	p16.1
ENSG00000055917	PUM2	pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958]	p24.1
ENSG00000057252	SOAT1	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]	q25.2
ENSG00000057468	MSH4	mutS homolog 4 [Source:HGNC Symbol;Acc:HGNC:7327]	p31.1
ENSG00000057757	PITHD1	PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]	p36.11
ENSG00000057935	MTA3	metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784]	p21
ENSG00000058085	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	q25.3
ENSG00000058453	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	p36.13
ENSG00000058668	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	q32.1
ENSG00000058673	ZC3H11A	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]	q32.1
ENSG00000058799	YIPF1	Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]	p32.3
ENSG00000058804	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]	p32.3
ENSG00000059588	TARBP1	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]	q42.2
ENSG00000059728	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	p13.3
ENSG00000060642	PIGV	phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]	p36.11
ENSG00000060656	PTPRU	protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]	p35.3
ENSG00000060688	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]	p35.2
ENSG00000060718	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	p21.1
ENSG00000064703	DDX20	DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]	p13.2
ENSG00000064886	CHI3L2	chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]	p13.2
ENSG00000065135	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	p13.3
ENSG00000065183	WDR3	WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]	p12
ENSG00000065243	PKN2	protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]	p22.2
ENSG00000065526	SPEN	spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]	p36.21
ENSG00000065600	PACC1	proton activated chloride channel 1 [Source:HGNC Symbol;Acc:HGNC:25593]	q32.3
ENSG00000065911	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	p13.1
ENSG00000065978	YBX1	Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]	p34.2
ENSG00000066027	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309]	q32.3
ENSG00000066032	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	p12
ENSG00000066056	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	p34.2
ENSG00000066135	KDM4A	lysine demethylase 4A [Source:HGNC Symbol;Acc:HGNC:22978]	p34.2
ENSG00000066136	NFYC	nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]	p34.2
ENSG00000066185	ZMYND12	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]	p34.2
ENSG00000066279	ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	q31.3
ENSG00000066294	CD84	CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704]	q23.3
ENSG00000066322	ELOVL1	ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]	p34.2
ENSG00000066557	LRRC40	leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:HGNC:26004]	p31.1
ENSG00000067208	EVI5	ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]	p22.1
ENSG00000067334	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	p22.1
ENSG00000067533	RRP15	ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]	q41
ENSG00000067606	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	p36.33
ENSG00000067704	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]	q41
ENSG00000068615	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]	p11.2
ENSG00000068654	POLR1A	RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]	p11.2
ENSG00000068697	LAPTM4A	lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]	p24.1
ENSG00000068724	TTC7A	tetratricopeptide repeat domain 7A [Source:HGNC Symbol;Acc:HGNC:19750]	p21
ENSG00000068781	STON1-GTF2A1L	STON1-GTF2A1L readthrough [Source:HGNC Symbol;Acc:HGNC:30651]	p16.3
ENSG00000068784	SRBD1	S1 RNA binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25521]	p21
ENSG00000068878	PSME4	proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]	p16.2
ENSG00000068912	ERLEC1	endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]	p16.2
ENSG00000069248	NUP133	nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]	q42.13
ENSG00000069275	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:HGNC Symbol;Acc:HGNC:29923]	q32.1
ENSG00000069424	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]	p36.31
ENSG00000069702	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	p22.1
ENSG00000069812	HES2	hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]	p36.31
ENSG00000070759	TESK2	testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]	p34.1
ENSG00000070785	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]	p34.1
ENSG00000070831	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	p36.12
ENSG00000070886	EPHA8	EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]	p36.12
ENSG00000071051	NCK2	NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]	q12.2
ENSG00000071054	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	q11.2
ENSG00000071073	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]	q11.2
ENSG00000071082	RPL31	ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]	q11.2
ENSG00000071575	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]	p24.3
ENSG00000071909	MYO3B	myosin IIIB [Source:HGNC Symbol;Acc:HGNC:15576]	q31.1
ENSG00000072135	PTPN18	protein tyrosine phosphatase non-receptor type 18 [Source:HGNC Symbol;Acc:HGNC:9649]	q21.1
ENSG00000072163	LIMS2	LIM zinc finger domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16084]	q14.3
ENSG00000072694	FCGR2B	Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	q23.3
ENSG00000073734	ABCB11	ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]	q31.1
ENSG00000073737	DHRS9	dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]	q31.1
ENSG00000073754	CD5L	CD5 molecule like [Source:HGNC Symbol;Acc:HGNC:1690]	q23.1
ENSG00000073756	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	q31.1
ENSG00000074047	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	q14.2
ENSG00000074054	CLASP1	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]	q14.3
ENSG00000074800	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	p36.23
ENSG00000074964	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]	p36.13
ENSG00000075151	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	p36.12
ENSG00000075292	ZNF638	zinc finger protein 638 [Source:HGNC Symbol;Acc:HGNC:17894]	p13.3
ENSG00000075340	ADD2	adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]	p13.3
ENSG00000075391	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	q25.2
ENSG00000075426	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	p23.2
ENSG00000075568	TMEM131	transmembrane protein 131 [Source:HGNC Symbol;Acc:HGNC:30366]	q11.2
ENSG00000075884	ARHGAP15	Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]	q22.2
ENSG00000075886	TUBA3D	tubulin alpha 3d [Source:HGNC Symbol;Acc:HGNC:24071]	q21.1
ENSG00000075945	KIFAP3	kinesin associated protein 3 [Source:HGNC Symbol;Acc:HGNC:17060]	q24.2
ENSG00000076003	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	q21.3
ENSG00000076258	FMO4	flavin containing dimethylaniline monoxygenase 4 [Source:HGNC Symbol;Acc:HGNC:3772]	q24.3
ENSG00000076321	KLHL20	kelch like family member 20 [Source:HGNC Symbol;Acc:HGNC:25056]	q25.1
ENSG00000076356	PLXNA2	plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]	q32.2
ENSG00000076864	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]	p36.12
ENSG00000077152	UBE2T	ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009]	q32.1
ENSG00000077157	PPP1R12B	protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]	q32.1
ENSG00000077254	USP33	ubiquitin specific peptidase 33 [Source:HGNC Symbol;Acc:HGNC:20059]	p31.1
ENSG00000077522	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	q43
ENSG00000077549	CAPZB	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]	p36.13
ENSG00000077585	GPR137B	G protein-coupled receptor 137B [Source:HGNC Symbol;Acc:HGNC:11862]	q42.3
ENSG00000078098	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	q24.2
ENSG00000078369	GNB1	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	p36.33
ENSG00000078618	NRDC	nardilysin convertase [Source:HGNC Symbol;Acc:HGNC:7995]	p32.3
ENSG00000078808	SDF4	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]	p36.33
ENSG00000078900	TP73	tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]	p36.32
ENSG00000079277	MKNK1	MAPK interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]	p33
ENSG00000079335	CDC14A	cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]	p21.2
ENSG00000079739	PGM1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	p31.3
ENSG00000079785	DDX1	DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734]	p24.3
ENSG00000080293	SCTR	secretin receptor [Source:HGNC Symbol;Acc:HGNC:10608]	q14.2
ENSG00000080345	RIF1	replication timing regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:23207]	q23.3
ENSG00000080910	CFHR2	complement factor H related 2 [Source:HGNC Symbol;Acc:HGNC:4890]	q31.3
ENSG00000081019	RSBN1	round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]	p13.2
ENSG00000081026	MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29647]	p13.2
ENSG00000081237	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	q31.3
ENSG00000081248	CACNA1S	calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]	q32.1
ENSG00000081277	PKP1	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]	q32.1
ENSG00000081479	LRP2	LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	q31.1
ENSG00000081692	JMJD4	jumonji domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25724]	q42.13
ENSG00000081721	DUSP12	dual specificity phosphatase 12 [Source:HGNC Symbol;Acc:HGNC:3067]	q23.3
ENSG00000081870	HSPB11	heat shock protein family B (small) member 11 [Source:HGNC Symbol;Acc:HGNC:25019]	p32.3
ENSG00000081985	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	p31.3
ENSG00000082258	CCNT2	cyclin T2 [Source:HGNC Symbol;Acc:HGNC:1600]	q21.3
ENSG00000082438	COBLL1	cordon-bleu WH2 repeat protein like 1 [Source:HGNC Symbol;Acc:HGNC:23571]	q24.3
ENSG00000082482	KCNK2	potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277]	q41
ENSG00000082497	SERTAD4	SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236]	q32.2
ENSG00000082512	TRAF5	TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035]	q32.3
ENSG00000082898	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	p15
ENSG00000083444	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	p36.22
ENSG00000084070	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]	p34.2
ENSG00000084072	PPIE	peptidylprolyl isomerase E [Source:HGNC Symbol;Acc:HGNC:9258]	p34.2
ENSG00000084073	ZMPSTE24	zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]	p34.2
ENSG00000084090	STARD7	StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]	q11.2
